kepid,tce_plnt_num,kepoi_name,koi_disposition,bLR
7037540,2,,,0.9972114213355108
8480285,1,K00691.01,FALSE POSITIVE,0.9971112684240364
5965819,1,K03319.01,FALSE POSITIVE,0.9912760032018508
6803202,1,K00177.01,FALSE POSITIVE,0.9910586436861064
11568987,2,K00354.02,FALSE POSITIVE,0.9909347928096636
5972334,2,K00191.02,FALSE POSITIVE,0.990744622765666
9230021,1,K03429.01,FALSE POSITIVE,0.9897470915334844
10794087,1,K01316.01,FALSE POSITIVE,0.9892180898858132
11513486,1,K04748.01,FALSE POSITIVE,0.9891569006999192
5020319,1,K00635.01,FALSE POSITIVE,0.9890794406075768
12505076,1,K02154.01,FALSE POSITIVE,0.9885143417698268
7975727,2,,,0.988061014385044
6356692,1,K02948.01,FALSE POSITIVE,0.9878582297769796
9904006,2,K02135.02,FALSE POSITIVE,0.9852302495043884
8644365,1,K03384.01,FALSE POSITIVE,0.9845284332780416
7938496,1,K00900.01,FALSE POSITIVE,0.9816769497953194
9446824,2,,,0.9798370785321524
11754430,2,K03403.02,FALSE POSITIVE,0.9797338583660112
3831053,1,K00388.01,FALSE POSITIVE,0.9796407402000484
10676824,1,K00599.01,FALSE POSITIVE,0.97883075884295
8180020,2,,,0.9778501424485572
8176650,2,,,0.9757665358870712
9150827,1,K01408.01,FALSE POSITIVE,0.9749646514418508
5376836,2,,,0.9748339693972656
3937519,2,K00221.02,FALSE POSITIVE,0.9743160035501508
4149450,1,K01864.01,FALSE POSITIVE,0.972730040113884
5370302,2,,,0.972678206988676
8456679,2,K00102.02,FALSE POSITIVE,0.9725595184134136
3970233,2,,,0.9720776609953978
3734868,2,,,0.9703571169793598
5534941,1,K02332.01,FALSE POSITIVE,0.9697479154681828
3545135,1,K02755.01,FALSE POSITIVE,0.969141722349939
5531953,1,K01681.01,FALSE POSITIVE,0.9689361724165264
8804845,1,K02039.01,FALSE POSITIVE,0.9688539016749204
11394027,1,K00349.01,FALSE POSITIVE,0.9684993793945548
5794570,2,K02675.02,FALSE POSITIVE,0.9683594127404204
7135852,1,K00875.01,FALSE POSITIVE,0.968115118466736
