kepid,tce_plnt_num,pca
2304168.0,2.0,-449710749.81469595
2304235.0,1.0,1814773240.6832192
2304566.0,1.0,-459507165.6837451
2304320.0,1.0,536161519.0254008
2303365.0,2.0,1814773551.1567867
2303102.0,10.0,-503380005.2375653
2303903.0,1.0,82329862.86994432
2303365.0,1.0,1475394458.4155073
2304604.0,1.0,403001403.3975842
2305255.0,1.0,-509827559.43915874
757099.0,1.0,-20007319.286192246
892376.0,1.0,-378618847.21217346
757450.0,1.0,1814773737.3305485
892376.0,2.0,342317248.2301717
892376.0,4.0,-459747405.8010917
892376.0,3.0,-585709978.7465394
892376.0,5.0,-457646452.7840299
892772.0,1.0,-51894636.497509554
892376.0,6.0,-585710031.9276638
892667.0,1.0,-176905952.65220377
893507.0,2.0,-75549850.54450022
893507.0,4.0,-416151836.9092146
893507.0,5.0,-363177189.4109628
893507.0,7.0,-200660827.6321012
893507.0,6.0,-367189128.30954623
893647.0,4.0,-392280456.3583219
893647.0,1.0,-365456991.9245196
893647.0,2.0,-331399178.05893725
893647.0,3.0,-288606506.5901444
1025986.0,1.0,-34203481.66788504
1026032.0,1.0,1814773739.033959
1026133.0,1.0,-145992701.18072313
1026032.0,2.0,1814773737.7214828
1026133.0,2.0,-455811061.20433384
1026474.0,1.0,-353855796.5228794
1026474.0,2.0,-544714190.4275634
1026957.0,1.0,1814773396.0946827
1028018.0,1.0,1179479409.5145562
1028246.0,1.0,-407719956.0640842
1028246.0,2.0,-556347388.380326
1160891.0,1.0,643138471.9362967
1160891.0,2.0,533422620.0563699
1160891.0,4.0,-405865099.3947183
1160891.0,3.0,-193926894.17980412
1161345.0,1.0,1814773520.8445876
1162150.0,1.0,205725439.89071685
1162150.0,2.0,-10837811.102678666
1162150.0,3.0,82973855.87521057
1162339.0,1.0,-18435689.366346486
1162339.0,2.0,-450077743.7574452
1162339.0,3.0,-367970795.43373996
1162345.0,1.0,510010256.35021144
1162345.0,2.0,224741518.31831646
1292087.0,1.0,-582356382.4839385
1293031.0,1.0,681997690.5758144
1293031.0,2.0,-225990237.37596998
1293046.0,1.0,-206951379.3972445
1294670.0,1.0,-287342367.66447467
1294670.0,2.0,-64384937.8263129
1294756.0,1.0,518676322.75018823
1294756.0,2.0,-487935049.2558078
1294756.0,3.0,-381649598.464464
1294756.0,4.0,-345880484.52607906
1294756.0,5.0,-347829055.74232984
1294756.0,6.0,-437722941.930059
1294756.0,7.0,-413080083.3482774
1294869.0,1.0,-487494770.5114168
1294756.0,8.0,-355092004.376186
1296164.0,1.0,-62785809.1448427
1296721.0,1.0,-512060964.05199945
1296164.0,2.0,-270479987.47063565
1429120.0,1.0,-511885488.4309575
1297272.0,1.0,-134614152.06731206
1429653.0,1.0,-229379326.58730415
1429653.0,2.0,-553479807.6987848
1431114.0,1.0,-516886265.6160939
1430590.0,2.0,-582472519.8091358
1430590.0,1.0,18984686.430174667
1431114.0,2.0,-469348165.93316394
1431501.0,1.0,-434842136.2108336
1431122.0,1.0,515082027.9796378
1431794.0,1.0,-253860695.71952918
1431794.0,2.0,-585709301.3246068
1432149.0,1.0,1045458494.8827145
1432091.0,1.0,-523985872.0818823
1432214.0,1.0,1814773737.3079438
1432214.0,2.0,-413930023.2362054
1432789.0,2.0,-225458617.09731546
1432789.0,1.0,-70445029.96414268
1433399.0,3.0,-535404004.2450549
1433399.0,4.0,-568510143.8850359
1433399.0,1.0,-137621188.0679231
1433399.0,2.0,-541502222.3283302
1433399.0,6.0,-585709912.358729
1433899.0,1.0,-195908456.4899512
1433399.0,5.0,-498691924.7596572
1433962.0,1.0,273732662.96117026
1433980.0,1.0,-585709308.6757935
1434395.0,1.0,1797843211.422929
1434660.0,1.0,-368973455.89107555
1433980.0,2.0,-585709308.7173618
1434660.0,2.0,-534126454.9952464
1434660.0,3.0,1726469314.185403
1434660.0,5.0,1131701174.5677526
1434800.0,2.0,-384307640.45704186
1434800.0,3.0,-426856584.6019517
1434800.0,1.0,150488795.23025066
1435448.0,1.0,-518223724.02194405
1434976.0,1.0,-405638487.9905686
1570924.0,1.0,-132354807.01388487
1435448.0,2.0,-499810916.3075997
1571152.0,1.0,916186035.3090093
1570924.0,3.0,-289869776.47216034
1571152.0,2.0,1814773287.2342563
1570924.0,2.0,-437415863.3710054
1570349.0,1.0,-580493868.603061
1435448.0,3.0,-489345087.70452493
1571717.0,2.0,-220614156.5738906
1571511.0,1.0,1814773738.4060047
1571511.0,2.0,167067456.8335734
1571717.0,1.0,-307718462.80851084
1571717.0,6.0,-553266730.0053043
1571717.0,3.0,-331319701.476266
1571717.0,4.0,-506696441.9864892
1571717.0,5.0,-539668114.2178323
1571152.0,3.0,1421628797.6832533
1571717.0,7.0,-299541429.6276654
1572201.0,1.0,-354092078.24789315
1572114.0,3.0,-490991032.87564856
1572114.0,1.0,-512652447.9640243
1572114.0,2.0,-506395327.5453637
1573138.0,4.0,-105250835.353941
1573138.0,2.0,-92602302.55739278
1573174.0,1.0,-581664978.5108346
1572948.0,1.0,291009549.8371233
1573094.0,1.0,-484701677.8872101
1573138.0,3.0,-483978068.4608157
1573138.0,1.0,-448792326.52871746
1575690.0,1.0,1814773739.050402
1576115.0,1.0,307482862.6499781
1575977.0,2.0,214364027.19018808
1576115.0,2.0,-473557571.5857495
1576144.0,1.0,43116883.619241886
1573174.0,3.0,55774111.98557877
1575977.0,1.0,904064615.3761661
1574792.0,1.0,-572987580.0893372
1573174.0,4.0,-585709714.6688544
1575873.0,1.0,918139298.2217014
1573174.0,2.0,639316741.0650657
1576144.0,8.0,-326482286.0796075
1576144.0,5.0,-326617239.8307673
1577039.0,1.0,330514367.7259142
1577039.0,2.0,22988358.104834124
1576144.0,7.0,-324863909.20945364
1717528.0,1.0,-441300418.7750708
1576144.0,3.0,-478162573.9037924
1576144.0,4.0,-514625899.82927173
1576144.0,2.0,1202593229.3429937
1576144.0,6.0,-344378228.0947768
1577912.0,1.0,-276109662.14926845
1720673.0,5.0,-585709997.1778764
1718189.0,3.0,-361313351.0385127
1722916.0,5.0,-382998849.7672207
1717722.0,3.0,752799422.1017509
1719308.0,2.0,-358061473.08407843
1717722.0,1.0,-536072023.4017242
1722916.0,1.0,-576448158.3133936
1718189.0,2.0,-140583073.55263335
1722916.0,3.0,-455120850.1219776
1722916.0,4.0,-440347198.1414938
1718958.0,1.0,1526369353.7409906
1720673.0,3.0,-500564485.7772742
1722506.0,1.0,-547994759.3795515
1718594.0,1.0,-162222336.25195453
1722506.0,3.0,-415146051.13864046
1722506.0,4.0,-373676228.5480625
1721157.0,1.0,524663382.4143962
1718189.0,1.0,59066893.34989299
1722916.0,2.0,-124706091.86370568
1721614.0,2.0,-388703530.74288404
1720673.0,1.0,-122148823.15220687
1720673.0,4.0,-534083424.60321647
1722276.0,1.0,856920041.0862547
1721614.0,1.0,-123492599.91262239
1719308.0,1.0,-502646318.18293625
1720673.0,2.0,-530225867.99626255
1717722.0,2.0,410249697.1508124
1718594.0,2.0,-92726073.22974753
1724968.0,6.0,-585709390.9663405
1849235.0,2.0,1814773736.9566238
1849235.0,3.0,54474697.7010146
1849235.0,4.0,-585709301.1798171
1849555.0,1.0,40064770.15988816
1724968.0,2.0,-491373682.9041313
1865042.0,1.0,1020839161.4294579
1849702.0,1.0,-102365315.78507288
1722916.0,6.0,-556483638.1507897
1724513.0,1.0,604851086.2983644
1724842.0,1.0,-463624128.7560305
1724968.0,1.0,435214806.9228581
1723078.0,1.0,-317808480.5650602
1724968.0,4.0,-467248357.88676745
1725016.0,1.0,-14491713.234632213
1724719.0,1.0,66515627.357668035
1722916.0,7.0,-428730316.07341087
1725193.0,1.0,1814773738.0467918
1724222.0,1.0,419612682.37141305
1724719.0,2.0,-220344498.7342136
1726231.0,1.0,-461500736.00696903
1849235.0,1.0,-116084462.87768507
1722916.0,8.0,-306948073.06648284
1724222.0,4.0,-275289019.71635705
1724968.0,3.0,-381102939.3151988
1724968.0,5.0,-398866937.9455534
1722916.0,9.0,-440103549.2907678
1724961.0,1.0,862250633.3891164
1868524.0,1.0,-435124985.4186671
1870849.0,2.0,854732245.8308368
1866252.0,1.0,295188970.4419029
1870398.0,1.0,-539447696.5195158
1865567.0,2.0,-59571612.141760506
1870849.0,1.0,734151242.0318784
1865567.0,3.0,-563699809.0102183
1865567.0,1.0,445616538.63096106
1868404.0,1.0,-69455544.54646218
1869607.0,1.0,-512630143.6733543
1865864.0,1.0,-427919442.52987474
1872340.0,1.0,-287430070.334137
1872340.0,5.0,-357565581.2065099
1872192.0,1.0,462307325.50763404
1871056.0,1.0,61830847.030419156
1872340.0,4.0,-160454850.67489985
1872262.0,1.0,-585709787.2892652
1872821.0,1.0,-16153749.457214015
1872340.0,6.0,-259895119.91645703
1872340.0,7.0,-231193418.8390777
1871056.0,2.0,-340989048.4574289
1872948.0,3.0,-489243148.7725326
1873543.0,2.0,-453952121.4884191
1872948.0,1.0,38464707.9561446
1873543.0,3.0,-433431618.4340391
1873513.0,1.0,1814773736.469214
1872885.0,1.0,-337147945.58168936
1872948.0,2.0,-413898819.69852275
1872885.0,2.0,-304869674.0703776
1873543.0,1.0,-405708609.693818
1995732.0,1.0,1814773738.9439719
1996679.0,2.0,-347712193.6075318
1995519.0,2.0,-433836537.1410457
1995712.0,1.0,-423316261.3861859
2010152.0,1.0,-455265683.8428282
1996180.0,2.0,-79284805.95323792
1873543.0,4.0,-448141746.2181552
1995323.0,1.0,-493184210.765493
1995431.0,3.0,-403036712.5735944
1996679.0,1.0,672181153.3050982
1995519.0,1.0,-134860934.55856076
1996180.0,1.0,583056901.0316336
1995431.0,1.0,-376099934.1417262
1995732.0,2.0,1814773737.3933544
1996399.0,1.0,-345874674.1797356
2010414.0,1.0,-583254951.2391214
2010414.0,2.0,-440094626.0857178
2010607.0,1.0,112492291.92561968
2011424.0,1.0,1814773305.1852229
2010191.0,1.0,-44298183.4615599
2013754.0,2.0,-363198889.12489486
2013883.0,1.0,635910211.2337172
2011424.0,2.0,1814773232.7460113
2014991.0,3.0,-479874745.2447915
2013754.0,1.0,-525011659.8538289
2014991.0,4.0,-378762067.9987388
2012722.0,1.0,181721382.1917163
2014991.0,1.0,988187272.1151532
2013754.0,3.0,-351680332.4610784
2012722.0,2.0,-286639618.3131329
2014991.0,2.0,-494356782.55241776
2014991.0,5.0,-314178517.49747634
2018261.0,1.0,-182787488.7924816
2014991.0,10.0,-385144025.33690286
2017692.0,1.0,-486723529.0443028
2018261.0,3.0,-245279206.66806576
2014991.0,6.0,-421196862.93390775
